# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669940000000518,701,4000669939999999817,QHOT
4000669940000000520,853,4000669939999999667,QHOT
4000669940000000522,331,4000669940000000191,QHOT
4000669940000000524,857,4000669939999999667,QHOT
4000669940000000526,839,4000669939999999687,QHOT
4000669940000000528,337,4000669940000000191,QHOT
4000669940000000530,1013,4000669939999999517,QHOT
4000669940000000532,509,4000669940000000023,QHOT
4000669940000000534,541,4000669939999999993,QHOT
4000669940000000536,1019,4000669939999999517,QHOT
4000669940000000538,1021,4000669939999999517,QHOT
4000669940000000540,853,4000669939999999687,QHOT
4000669940000000542,461,4000669940000000081,QHOT
4000669940000000544,857,4000669939999999687,QHOT
4000669940000000546,859,4000669939999999687,QHOT
4000669940000000548,1031,4000669939999999517,QHOT
4000669940000000550,863,4000669939999999687,QHOT
4000669940000000552,823,4000669939999999729,QHOT
4000669940000000554,701,4000669939999999853,QHOT
4000669940000000556,1039,4000669939999999517,QHOT
4000669940000000558,367,4000669940000000191,QHOT
4000669940000000560,479,4000669940000000081,QHOT
4000669940000000562,709,4000669939999999853,QHOT
4000669940000000564,877,4000669939999999687,QHOT
4000669940000000566,1049,4000669939999999517,QHOT
4000669940000000568,881,4000669939999999687,QHOT
4000669940000000570,883,4000669939999999687,QHOT
4000669940000000572,719,4000669939999999853,QHOT
4000669940000000574,887,4000669939999999687,QHOT
4000669940000000576,73,4000669940000000503,SIEVE
4000669940000000578,1061,4000669939999999517,QHOT
4000669940000000580,1063,4000669939999999517,QHOT
4000669940000000582,79,4000669940000000503,QHOT
4000669940000000584,503,4000669940000000081,QHOT
4000669940000000586,83,4000669940000000503,QHOT
4000669940000000588,397,4000669940000000191,QHOT
4000669940000000590,509,4000669940000000081,QHOT
4000669940000000592,89,4000669940000000503,QHOT
4000669940000000594,907,4000669939999999687,QHOT
4000669940000000596,743,4000669939999999853,QHOT
4000669940000000598,911,4000669939999999687,QHOT
4000669940000000600,97,4000669940000000503,QHOT
4000669940000000602,521,4000669940000000081,QHOT
4000669940000000604,101,4000669940000000503,QHOT
4000669940000000606,103,4000669940000000503,QHOT
4000669940000000608,1091,4000669939999999517,QHOT
4000669940000000610,107,4000669940000000503,QHOT
4000669940000000612,109,4000669940000000503,QHOT
4000669940000000614,1097,4000669939999999517,QHOT
4000669940000000616,113,4000669940000000503,QHOT
