# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4001000000000000000
# total_verified=439440000000003
# total_total=439440000000003
# total_tries=4843729688398
# total_qhot=439270668360167
# total_misses=0
# elapsed_sec=468998.388662
N,p,q,source
4000998080525961212,151,4000998080525961061,SIEVE
4000998090223192060,11,4000998090223192049,SIEVE
4000998100000053202,53,4000998100000053149,SIEVE
4000998110490068988,67,4000998110490068921,SIEVE
4000998120187299836,19,4000998120187299817,SIEVE
4000998130656282620,13,4000998130656282607,SIEVE
4000998140134217724,283,4000998140134217441,SIEVE
4000998150000167182,941,4000998150000166241,SIEVE
4000998160602421244,151,4000998160602421093,SIEVE
4000998170299652092,29,4000998170299652063,SIEVE
4000998180701526012,83,4000998180701525929,SIEVE
4000998190432311292,179,4000998190432311113,SIEVE
4000998200062433276,13,4000998200062433263,SIEVE
4000998210397198332,89,4000998210397198243,SIEVE
4000998220329310204,83,4000998220329310121,SIEVE
4000998230060095484,331,4000998230060095153,SIEVE
4000998240529078268,79,4000998240529078189,SIEVE
4000998250226309116,227,4000998250226308889,SIEVE
4000998260728846332,83,4000998260728846249,SIEVE
4000998270358968316,23,4000998270358968293,SIEVE
4000998280022644732,5,4000998280022644727,SIEVE
4000998290558736380,139,4000998290558736241,SIEVE
4000998300323076092,199,4000998300323075893,SIEVE
4000998310053861372,71,4000998310053861301,SIEVE
4000998320589953020,11,4000998320589953009,SIEVE
4000998330253629436,29,4000998330253629407,SIEVE
4000998340134217724,37,4000998340134217687,SIEVE
4000998350133438460,3,4000998350133438457,SIEVE
4000998360669530108,19,4000998360669530089,SIEVE
4000998370299652092,31,4000998370299652061,SIEVE
4000998380768634876,223,4000998380768634653,SIEVE
4000998390432311292,71,4000998390432311221,SIEVE
4000998400028878844,97,4000998400028878747,SIEVE
4000998410497861628,109,4000998410497861519,SIEVE
4000998420295755772,53,4000998420295755719,SIEVE
4000998430630520828,241,4000998430630520587,SIEVE
4000998440294197244,181,4000998440294197063,SIEVE
4000998450696071164,191,4000998450696070973,SIEVE
4000998460292638716,113,4000998460292638603,SIEVE
4000998470761621500,47,4000998470761621453,SIEVE
4000998480391743484,11,4000998480391743473,SIEVE
4000998490021865468,727,4000998490021864741,SIEVE
4000998500423739388,59,4000998500423739329,SIEVE
4000998510221633532,19,4000998510221633513,SIEVE
4000998520724170748,37,4000998520724170711,SIEVE
4000998530387847164,67,4000998530387847097,SIEVE
4000998540369098748,37,4000998540369098711,SIEVE
4000998550166992892,151,4000998550166992741,SIEVE
4000998560669530108,179,4000998560669529929,SIEVE
4000998570333206524,191,4000998570333206333,SIEVE
4000998580735080444,41,4000998580735080403,SIEVE
4000998590398756860,41,4000998590398756819,SIEVE
4000998600028878844,353,4000998600028878491,SIEVE
4000998610397198332,59,4000998610397198273,SIEVE
4000998620161538044,347,4000998620161537697,SIEVE
4000998630060095484,53,4000998630060095431,SIEVE
4000998640495523836,5,4000998640495523831,SIEVE
4000998650159200252,5,4000998650159200247,SIEVE
4000998660594628604,337,4000998660594628267,SIEVE
4000998670191196156,887,4000998670191195269,SIEVE
4000998680626624508,787,4000998680626623721,SIEVE
4000998690290300924,31,4000998690290300893,SIEVE
4000998700759283708,109,4000998700759283599,SIEVE
4000998710724950012,19,4000998710724949993,SIEVE
4000998720455735292,31,4000998720455735261,SIEVE
4000998730152966140,199,4000998730152965941,SIEVE
4000998740738197500,23,4000998740738197477,SIEVE
4000998750000059254,131,4000998750000059123,SIEVE
4000998760434649084,5,4000998760434649079,SIEVE
4000998770098325500,101,4000998770098325399,SIEVE
4000998780634417148,661,4000998780634416487,SIEVE
4000998790264539132,89,4000998790264539043,SIEVE
4000998800800630780,101,4000998800800630679,SIEVE
4000998810497861628,67,4000998810497861561,SIEVE
4000998820228646908,47,4000998820228646861,SIEVE
4000998830026541052,43,4000998830026541009,SIEVE
4000998840495523836,59,4000998840495523777,SIEVE
4000998850159200252,61,4000998850159200191,SIEVE
4000998860594628604,83,4000998860594628521,SIEVE
4000998870258305020,23,4000998870258304997,SIEVE
4000998880760842236,47,4000998880760842189,SIEVE
4000998890390964220,41,4000998890390964179,SIEVE
4000998900188858364,157,4000998900188858207,SIEVE
4000998910657841148,47,4000998910657841101,SIEVE
4000998920355071996,769,4000998920355071227,SIEVE
4000998930119411708,199,4000998930119411509,SIEVE
4000998940738197500,229,4000998940738197271,SIEVE
4000998950200547324,283,4000998950200547041,SIEVE
4000998960602421244,191,4000998960602421053,SIEVE
4000998970266097660,23,4000998970266097637,SIEVE
4000998980000008958,19,4000998980000008939,SIEVE
4000998990532974588,47,4000998990532974541,SIEVE
4000999000129542140,151,4000999000129541989,SIEVE
4000999010632079356,59,4000999010632079297,SIEVE
4000999020530636796,5,4000999020530636791,SIEVE
4000999030227867644,13,4000999030227867631,SIEVE
4000999040696850428,157,4000999040696850271,SIEVE
4000999050360526844,61,4000999050360526783,SIEVE
4000999060695291900,73,4000999060695291827,SIEVE
4000999070392522748,61,4000999070392522687,SIEVE
4000999080123308028,421,4000999080123307607,SIEVE
4000999090726508540,379,4000999090726508161,SIEVE
4000999100457293820,59,4000999100457293761,SIEVE
4000999110120970236,29,4000999110120970207,SIEVE
4000999120489289724,37,4000999120489289687,SIEVE
4000999130119411708,5,4000999130119411703,SIEVE
4000999140469762044,73,4000999140469761971,SIEVE
4000999150032775164,5,4000999150032775159,SIEVE
4000999160568866812,173,4000999160568866639,SIEVE
4000999170165434364,47,4000999170165434317,SIEVE
4000999180634417148,59,4000999180634417089,SIEVE
4000999190331647996,109,4000999190331647887,SIEVE
4000999200000025984,491,4000999200000025493,SIEVE
4000999210497861628,29,4000999210497861599,SIEVE
4000999220329310204,7,4000999220329310197,SIEVE
4000999230093649916,3,4000999230093649913,SIEVE
4000999240562632700,3,4000999240562632697,SIEVE
4000999250259863548,479,4000999250259863069,SIEVE
4000999260000005378,421,4000999260000004957,SIEVE
4000999270493186044,23,4000999270493186021,SIEVE
4000999280123308028,127,4000999280123307901,SIEVE
4000999290558736380,113,4000999290558736267,SIEVE
4000999300356630524,163,4000999300356630361,SIEVE
4000999310120970236,109,4000999310120970127,SIEVE
4000999320623507452,23,4000999320623507429,SIEVE
4000999330287183868,47,4000999330287183821,SIEVE
4000999340167772156,37,4000999340167772119,SIEVE
4000999350000101308,47,4000999350000101261,SIEVE
4000999360501757948,79,4000999360501757869,SIEVE
4000999370198988796,5,4000999370198988791,SIEVE
4000999380735080444,547,4000999380735079897,SIEVE
4000999390365202428,11,4000999390365202417,SIEVE
4000999400028878844,17,4000999400028878827,SIEVE
4000999410430752764,7,4000999410430752757,SIEVE
4000999420161538044,251,4000999420161537793,SIEVE
4000999430630520828,431,4000999430630520397,SIEVE
4000999440294197244,5,4000999440294197239,SIEVE
4000999450000025056,197,4000999450000024859,SIEVE
4000999460561074172,43,4000999460561074129,SIEVE
4000999470258305020,257,4000999470258304763,SIEVE
4000999480000003078,41,4000999480000003037,SIEVE
4000999490525181948,59,4000999490525181889,SIEVE
4000999500255967228,59,4000999500255967169,SIEVE
4000999510020306940,59,4000999510020306881,SIEVE
4000999520522844156,47,4000999520522844109,SIEVE
4000999530287183868,29,4000999530287183839,SIEVE
4000999539999999996,227,4000999539999999769,SIEVE
4000999550334765052,101,4000999550334764951,SIEVE
4000999560770193404,103,4000999560770193301,SIEVE
4000999570433869820,409,4000999570433869411,SIEVE
4000999580097546236,163,4000999580097546073,SIEVE
4000999590600083452,23,4000999590600083429,SIEVE
4000999600230205436,37,4000999600230205399,SIEVE
4000999610732742652,3,4000999610732742649,SIEVE
4000999620497082364,11,4000999620497082353,SIEVE
4000999630160758780,173,4000999630160758607,SIEVE
4000999640663295996,13,4000999640663295983,SIEVE
4000999650360526844,13,4000999650360526831,SIEVE
4000999660124866556,499,4000999660124866057,SIEVE
4000999670593849340,19,4000999670593849321,SIEVE
4000999680223971324,71,4000999680223971253,SIEVE
4000999690055419900,467,4000999690055419433,SIEVE
